source_code,title,genre_code,director,year,rating,runtime_minutes,description
M0075,Adventures in Soul,ANI,Pete Docter,1988,8,94,"When adventure calls, one small creature answers."
M0076,The Sky Marshal,WES,John Ford,2012,6.7,116,A writer seeks revenge across a thousand miles of unforgiving terrain.
M0077,The River Paradox,SCI,Jonathan Nolan,2011,6.8,119,"When the boundaries of reality collapse, a teacher searches for answers."
M0078,Orbital Glass,SCI,Duncan Jones,2022,7,112,A soldier wakes aboard a drifting ship with no memory of how they got there.
M0079,Memory Rising,SCI,Neill Blomkamp,2007,7.3,105,A farmer must stop time itself from unravelling.
M0080,Road Prime,SCI,Alex Garland,1983,6.1,105,"In 2157, one decision will determine the fate of two worlds."
M0081,The Strange Justice,DRA,Xavier Dolan,2010,6.3,134,"When secrets surface, a tight-knit community begins to unravel."
M0082,The City Within,DRA,Hirokazu Kore-eda,1975,5.2,131,A family struggles to stay together after a devastating loss.
M0083,Mirror Tales,ANI,Andrew Stanton,2022,7.6,81,A forgotten land holds the key to everything they've lost.
M0084,Maximum Echo,ACT,Tony Scott,2006,6.8,110,A dangerous mission pushes a team to their absolute limits.
M0085,Path Force,ACT,David Leitch,1952,8.3,107,"Outnumbered and outgunned, a scientist fights their way to the truth."
M0086,What Lies in Memory,HOR,Ti West,1985,7.2,119,The town has kept its secret for a hundred years. Until now.
M0087,Flame Rising,SCI,James Cameron,1970,5.6,141,"An experiment goes wrong, unleashing consequences no one anticipated."
M0088,Far Away Peace,ANI,Isao Takahata,1990,6.5,101,"Courage, friendship, and wonder await beyond the horizon."
M0089,Falling for Peace,ROM,Kay Cannon,1956,6.9,119,"First love, second chances, and everything in between."
M0090,Sun Force,ACT,Kathryn Bigelow,1966,7.7,98,"When negotiations fail, one writer becomes the world's last hope."
M0091,The Long Earth,DRA,Alfonso CuarÃ³n,1989,5.1,112,Two strangers form an unlikely bond during a turbulent summer.
M0092,The Last Rain,WES,John Ford,2013,7.4,108,A bounty hunter questions everything they believe when the truth emerges.
M0093,The Star Code,THR,Park Chan-wook,2020,7,120,A teacher has 48 hours to prevent a catastrophe.
M0094,The Wrong Time,COM,Adam McKay,1950,6.3,116,A journalist discovers their ordinary life is anything but.
M0095,The Ice Code,THR,Karyn Kusama,2019,4.5,142,"When a witness disappears, a artist races to find the truth."
M0096,Strange Horizon,SCI,Gareth Edwards,2010,5.9,79,A journalist must stop time itself from unravelling.
M0097,Time Prime,SCI,Shane Carruth,1992,8.2,85,"When the boundaries of reality collapse, a soldier searches for answers."
M0098,Void Night,SCI,Duncan Jones,2002,8.7,76,A writer discovers a technology that could save â€” or destroy â€” civilisation.
M0099,Hollow Garden,HOR,David Robert Mitchell,1960,7.9,70,A pilot becomes convinced they are being stalked by something inhuman.
M0100,Hard Storm,ACT,David Leitch,1958,6.7,138,"Outnumbered and outgunned, a artist fights their way to the truth."
M0101,The City of Dread,HOR,Jordan Peele,2006,7,109,Something in the house does not want them to leave.
M0102,Crimson Timing,COM,Armando Iannucci,2005,7.4,119,A doctor accidentally switches lives with their nemesis.
M0103,Bright Waters,DRA,Asghar Farhadi,1980,4.9,120,A architect must choose between personal ambition and those they love.
M0104,Hard Forest,ACT,George Miller,2009,8,90,"Racing against time, a teacher must stop an attack on the capital."
M0105,City in the Dark,THR,Yorgos Lanthimos,1982,5.5,114,Nothing is as it seems in this tightly wound psychological thriller.
M0106,The Weight of Blood,DRA,Hirokazu Kore-eda,1987,7.5,119,A young person discovers the truth about their origins and identity.
M0107,Far From Spirit,DRA,Xavier Dolan,2013,7.8,82,A musician must choose between personal ambition and those they love.
M0108,My Rising Life,COM,Wes Anderson,1962,7.9,83,A architect's attempt to impress their in-laws spirals out of control.
M0109,Fire of Silence,DRA,Kelly Reichardt,1987,5.9,138,A journalist must choose between personal ambition and those they love.
M0110,Twisted Shadows,HOR,Robert Eggers,1971,6.4,132,The town has kept its secret for a hundred years. Until now.
M0111,Hidden Shadows,HOR,Jordan Peele,1968,6.5,80,A athlete becomes convinced they are being stalked by something inhuman.
M0112,Silent Moon,THR,Karyn Kusama,1965,4.8,118,A routine assignment turns into a deadly game of cat and mouse.
M0113,Distant World,ANI,Brad Bird,2010,9,98,Dreams and reality blur in this breathtaking animated tale.
M0114,My Hollow City,ROM,Mark Waters,1988,6.1,93,Two people who couldn't be more different find they're perfect together.
M0115,Almost Hidden,COM,Taika Waititi,2018,7.4,116,Three friends attempt to pull off the most ambitious scheme of their lives.
M0116,The Distant Proposal,ROM,Mira Nair,2002,7.4,95,The one that got away turns out to be the one worth fighting for.
M0117,Almost Fallen,COM,Edgar Wright,1997,4,84,Mistaken identity leads a scientist on an unexpected adventure.
M0118,Dark Peace,THR,Christopher Nolan,1977,5.5,89,A scientist uncovers a conspiracy that puts their life in danger.
M0119,The Heart Below,HOR,Ari Aster,1958,7.2,72,A artist investigates a series of disappearances in a rural town.
M0120,Sun Trouble,COM,Wes Anderson,1966,4.4,91,"When plans go wrong, two unlikely partners must improvise their way out."
M0121,Mind of Silence,DRA,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,1952,6.7,125,A young person discovers the truth about their origins and identity.
M0122,A Midnight Life,DRA,Lynne Ramsay,1996,5.9,119,A artist fights for justice in a system stacked against them.
M0123,The Truth About Wave,DOC,Laura Poitras,1953,7.8,98,Years of access reveal a world few have ever seen.
M0124,Hard Mountain,ACT,John Wick,1991,6.2,103,"Outnumbered and outgunned, a athlete fights their way to the truth."
M0125,The Cloud of Dread,HOR,Ti West,2014,6.1,89,A athlete returns to their hometown â€” and discovers it has changed.
M0126,The Justice Below,HOR,Ari Aster,2002,5.8,113,A soldier becomes convinced they are being stalked by something inhuman.
M0127,Rising Chaos,COM,Wes Anderson,2010,8.6,115,"When plans go wrong, two unlikely partners must improvise their way out."
M0128,A Simple Stone,DRA,Bong Joon-ho,1957,5.2,106,An aging soldier reflects on a life of sacrifice and regret.
M0129,Beneath the Night,THR,Denis Villeneuve,1986,5.6,99,"When a witness disappears, a journalist races to find the truth."
M0130,The Blood Agency,ACT,Kathryn Bigelow,1997,7.2,118,"Racing against time, a chef must stop an attack on the capital."
M0131,The Reckless Land,ANI,Byron Howard,1984,7.4,94,"Courage, friendship, and wonder await beyond the horizon."
M0132,Always Door,ROM,Nora Ephron,2022,6.2,95,The one that got away turns out to be the one worth fighting for.
M0133,Before Dream,DRA,Mike Leigh,2008,5.9,136,An aging teacher reflects on a life of sacrifice and regret.
M0134,The Wild One,ROM,Richard Curtis,1960,6.3,131,A architect has one summer to follow their heart before it's too late.
M0135,Dark Rain,THR,Roman Polanski,2005,7.9,129,A photographer must outwit a brilliant adversary to survive the night.
M0136,Hope Force,ACT,David Leitch,1957,7.5,108,"Racing against time, a journalist must stop an attack on the capital."
M0137,Hollow Rain,HOR,James Wan,2013,6.5,82,A athlete becomes convinced they are being stalked by something inhuman.
M0138,Forest Reborn,ACT,F. Gary Gray,1959,4.9,127,A dangerous mission pushes a team to their absolute limits.
M0139,Hidden Heart,THR,Yorgos Lanthimos,2023,5.1,126,A routine assignment turns into a deadly game of cat and mouse.
M0140,Garden in the Dark,THR,Park Chan-wook,1996,8.5,130,"When a witness disappears, a chef races to find the truth."
M0141,The Empty Frontier,SCI,Jonathan Nolan,1993,6.9,149,A photographer discovers a technology that could save â€” or destroy â€” civilisation.
M0142,Bridge Reborn,ACT,F. Gary Gray,1994,6.2,71,An elite operative uncovers a betrayal within their own ranks.
M0143,Bridge Trouble,COM,Wes Anderson,1969,6.6,70,A writer accidentally switches lives with their nemesis.
M0144,The Last Truth,THR,Jeremy Saulnier,1991,7.6,88,A architect has 48 hours to prevent a catastrophe.
M0145,Echoes of Sun,DRA,Hirokazu Kore-eda,1957,6.2,126,"In the aftermath of tragedy, survivors find unexpected connection."
M0146,Mountain of Silence,DRA,Asghar Farhadi,1961,5.4,104,"In the aftermath of tragedy, survivors find unexpected connection."
M0147,The Lost Reality,DOC,AgnÃ¨s Varda,1974,5.9,110,Inside one of the world's most secretive organisations.
M0148,Time in the Dark,THR,David Fincher,1955,6.5,131,A photographer must outwit a brilliant adversary to survive the night.
M0149,The Soul Project,SCI,Jonathan Nolan,1999,5.6,124,Humanity makes contact with an intelligence beyond comprehension.
M0150,A Reckless Life,DRA,Mike Leigh,1986,6.5,159,Estranged siblings reunite to settle their parents' estate.
M0151,Weekend at the Blood,COM,Adam McKay,2000,7.8,122,"When plans go wrong, two unlikely partners must improvise their way out."
M0152,Orbital Stone,SCI,Mike Cahill,1961,5.7,98,The colonists of a distant planet uncover something buried for millennia.
M0153,The Sacred Game,THR,Park Chan-wook,1974,6.6,120,Someone is watching â€” and they know everything.
M0154,Echo Tales,ANI,Rich Moore,1954,5.2,70,Dreams and reality blur in this breathtaking animated tale.
M0155,Wild Strike,ACT,David Leitch,1971,6.4,102,"Outnumbered and outgunned, a artist fights their way to the truth."
M0156,World of Dawn,DOC,Laura Poitras,1979,5.5,86,"Bold, unflinching, and impossible to ignore."
M0157,My Sweet Ocean,ROM,Mira Nair,2006,5.6,105,A photographer has one summer to follow their heart before it's too late.
M0158,The Spirit Project,SCI,Duncan Jones,1982,7.8,122,The colonists of a distant planet uncover something buried for millennia.
M0159,The Twisted Reality,DOC,Steve James,1960,6.6,74,A filmmaker follows one family through five years of upheaval.
M0160,Justice Tales,ANI,Lee Unkrich,1953,5.5,102,"When adventure calls, one small creature answers."
M0161,Hidden Path,THR,Denis Villeneuve,1990,8.6,93,A journalist receives a message from someone who shouldn't exist.
M0162,Last Sky,DRA,Andrea Arnold,1967,6.6,97,Estranged siblings reunite to settle their parents' estate.
M0163,Falling for Road,ROM,Nora Ephron,2020,8,91,A soldier has one summer to follow their heart before it's too late.
M0164,The Rain Below,HOR,James Wan,1980,4.6,112,The town has kept its secret for a hundred years. Until now.
M0165,The Neon Road,DRA,Bong Joon-ho,1952,5.4,100,A family struggles to stay together after a devastating loss.
M0166,The Bitter Truth,THR,Jeremy Saulnier,2003,7.2,137,A teacher receives a message from someone who shouldn't exist.
M0167,The Time Effect,DOC,Alex Gibney,1952,5.5,104,The hidden truth behind a story the world thought it knew.
M0168,Blood in Blood,WES,Clint Eastwood,1994,6.6,144,A lone pilot rides into a town where the law has no power.
M0169,Ice of Silence,DRA,Andrea Arnold,1972,7.4,93,"In the aftermath of tragedy, survivors find unexpected connection."
M0170,Storm Tales,ANI,Andrew Stanton,1975,7.3,95,A young hero embarks on a magical quest to save their world.
M0171,The Echo Effect,DOC,Laura Poitras,1982,8.2,96,The untold story of a musician who changed history.
M0172,Falling for Sun,ROM,Nancy Meyers,1997,5.4,109,A politician has one summer to follow their heart before it's too late.
M0173,Sky Trouble,COM,Christopher Miller,1997,7.8,88,"When plans go wrong, two unlikely partners must improvise their way out."
M0174,Burning Waters,DRA,Terrence Malick,1991,7.4,130,"When secrets surface, a tight-knit community begins to unravel."
M0175,The Mirror Files,THR,Park Chan-wook,1994,4.7,120,A chef receives a message from someone who shouldn't exist.
M0176,Hollow Timing,COM,Phil Lord,1996,4.5,97,A detective accidentally switches lives with their nemesis.
M0177,Last Waters,DRA,Alfonso CuarÃ³n,1958,6.7,148,An aging politician reflects on a life of sacrifice and regret.
M0178,The Truth About Ocean,DOC,Laura Poitras,1997,5.1,114,A filmmaker follows one family through five years of upheaval.
M0179,Desert Rising,SCI,Jonathan Nolan,1981,6.8,113,"In 2157, one decision will determine the fate of two worlds."
M0180,The Hidden Frontier,SCI,Jonathan Nolan,2007,6.9,141,"When the boundaries of reality collapse, a lawyer searches for answers."
M0181,Far From Justice,DRA,Alfonso CuarÃ³n,2006,8.7,119,An aging musician reflects on a life of sacrifice and regret.
M0182,Cloud Reborn,ACT,James Wan,1970,5.8,70,"When negotiations fail, one doctor becomes the world's last hope."
M0183,Far Away Rain,ANI,Brad Bird,1967,6.6,115,"When adventure calls, one small creature answers."
M0184,Void Stone,SCI,Shane Carruth,1961,7.6,123,"When the boundaries of reality collapse, a photographer searches for answers."
M0185,Silent Mountain,THR,David Fincher,1990,5.7,92,A journalist receives a message from someone who shouldn't exist.
M0186,Twice in Stone,ROM,Kay Cannon,2014,6.8,98,Two people who couldn't be more different find they're perfect together.
M0187,Beyond Flame,DRA,Kelly Reichardt,1978,4.9,159,"When secrets surface, a tight-knit community begins to unravel."
M0188,Last Fire,DRA,Bong Joon-ho,1971,5.2,105,A family struggles to stay together after a devastating loss.
M0189,The Lost Land,ANI,Isao Takahata,1955,8.5,81,"When adventure calls, one small creature answers."
M0190,The Love of Dread,HOR,Ana Lily Amirpour,1987,5.9,81,A politician investigates a series of disappearances in a rural town.
M0191,The Misadventures of Mirror,COM,Christopher Miller,2003,5.7,101,A pilot accidentally switches lives with their nemesis.
M0192,Always Hope,ROM,Nora Ephron,1997,5.9,101,A chance encounter in a far-off city changes everything.
M0193,Echoes of Glass,DRA,Paul Thomas Anderson,1956,6.2,139,Estranged siblings reunite to settle their parents' estate.
M0194,Heart Trouble,COM,Armando Iannucci,1974,6.6,76,A writer discovers their ordinary life is anything but.
M0195,To Love Again,ROM,Kay Cannon,2014,5.6,105,"Separated by circumstances, two hearts refuse to give up."
M0196,Last Spirit,DRA,Kelly Reichardt,2010,6.5,122,Two strangers form an unlikely bond during a turbulent summer.
M0197,Last Hope,DRA,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,1955,5.2,135,A musician must choose between personal ambition and those they love.
M0198,Beyond Time,SCI,Rian Johnson,2020,5.8,174,A journalist discovers a technology that could save â€” or destroy â€” civilisation.
M0199,Outlaws of Ice,WES,Lawrence Kasdan,1996,6.5,101,"When old enemies meet again, the reckoning is long overdue."
M0200,Stone Prime,SCI,Gareth Edwards,2010,5.8,113,"In 2157, one decision will determine the fate of two worlds."
M0201,Hope: A Portrait,DOC,AgnÃ¨s Varda,1988,5.3,76,A filmmaker follows one family through five years of upheaval.
M0202,New War,SCI,Ridley Scott,1997,6.2,123,A farmer must stop time itself from unravelling.
M0203,Tiny Spirit,ANI,Dean DeBlois,1983,8.6,84,"Courage, friendship, and wonder await beyond the horizon."
M0204,Into the Mirror,HOR,Ana Lily Amirpour,1998,7.6,119,Something in the house does not want them to leave.
M0205,Echoes of Fear,DRA,Alfonso CuarÃ³n,2002,6,100,Estranged siblings reunite to settle their parents' estate.
M0206,Finding Earth,ROM,Nora Ephron,2016,6.8,119,The one that got away turns out to be the one worth fighting for.
M0207,The Peace Paradox,SCI,Mike Cahill,1993,4.8,106,"An experiment goes wrong, unleashing consequences no one anticipated."
M0208,The Voice Within,DRA,Terrence Malick,1978,9.5,99,"When secrets surface, a tight-knit community begins to unravel."
M0209,Hard War,ACT,F. Gary Gray,2021,8.5,93,"Outnumbered and outgunned, a farmer fights their way to the truth."
M0210,The Long Dream,DRA,Kelly Reichardt,2000,7.7,74,A family struggles to stay together after a devastating loss.
M0211,A Simple Blood,DRA,Kelly Reichardt,2006,5.4,92,A lawyer must choose between personal ambition and those they love.
M0212,Adventures in Sky,ANI,Andrew Stanton,1967,8,112,An unlikely band of friends must work together to find their way home.
M0213,The Twisted Road,DRA,Asghar Farhadi,1979,7.7,126,"In the aftermath of tragedy, survivors find unexpected connection."
M0214,Broken Strike,ACT,Chad Stahelski,2002,5.1,74,A dangerous mission pushes a team to their absolute limits.
M0215,Maximum Cloud,ACT,George Miller,1961,6,96,"When negotiations fail, one scientist becomes the world's last hope."
M0216,The Strange One,ROM,Richard Curtis,2000,6.7,89,The one that got away turns out to be the one worth fighting for.
M0217,Falling for Heart,ROM,Mira Nair,1963,7.5,94,A athlete has one summer to follow their heart before it's too late.
M0218,The Peace Project,SCI,Jonathan Nolan,1974,6.9,98,"When the boundaries of reality collapse, a engineer searches for answers."
M0219,The Iron Dark,HOR,Babak Anvari,1974,7.6,130,A chef becomes convinced they are being stalked by something inhuman.
M0220,Beyond Forest,SCI,James Cameron,1973,7.9,112,A detective wakes aboard a drifting ship with no memory of how they got there.
M0221,My Last Life,COM,Armando Iannucci,1988,5.1,87,A musician's attempt to impress their in-laws spirals out of control.
M0222,Peace Force,ACT,James Wan,1970,5.3,121,"When negotiations fail, one farmer becomes the world's last hope."
M0223,Soul Rising,ACT,David Leitch,1978,6.6,118,"Racing against time, a architect must stop an attack on the capital."
M0224,Into the Fear,HOR,Ana Lily Amirpour,2010,6.6,70,A artist investigates a series of disappearances in a rural town.
M0225,Lethal Memory,ACT,Tony Scott,2017,6.4,100,A soldier goes off the grid to protect the one person who matters most.
M0226,Before Bridge,DRA,Hirokazu Kore-eda,2018,7.1,134,A architect fights for justice in a system stacked against them.
M0227,The Fire Within,DRA,Kelly Reichardt,2015,6.1,122,A family struggles to stay together after a devastating loss.
M0228,The Dark Truth,THR,Park Chan-wook,1989,6.3,90,A lawyer uncovers a conspiracy that puts their life in danger.
M0229,Blood Prime,SCI,James Cameron,2019,9.3,113,A writer discovers a technology that could save â€” or destroy â€” civilisation.
M0230,The Weight of Stone,DRA,Lynne Ramsay,2003,4.7,149,"In the aftermath of tragedy, survivors find unexpected connection."
M0231,Beneath the Stone,THR,Roman Polanski,1965,7.1,132,A artist has 48 hours to prevent a catastrophe.
M0232,The Golden Journey,ANI,Rich Moore,2004,4.3,84,An unlikely band of friends must work together to find their way home.
M0233,No Night for Night,COM,Edgar Wright,1954,7,80,A hapless artist stumbles into a series of increasingly absurd situations.
M0234,The Misadventures of Justice,COM,Greg Mottola,1956,6.5,106,A artist discovers their ordinary life is anything but.
M0235,Quiet Frontier,WES,Andrew Dominik,1991,6.7,155,A bounty hunter questions everything they believe when the truth emerges.
M0236,No River for River,COM,Rian Johnson,1972,5.6,84,A scientist discovers their ordinary life is anything but.
M0237,Memory Justice,WES,Ed Harris,2003,5.7,124,"In the lawless frontier, only the ruthless survive."
M0238,Golden Horizon,SCI,Duncan Jones,2009,7.8,101,A athlete must stop time itself from unravelling.
M0239,Moon Rising,SCI,Alex Garland,1992,4.9,78,The colonists of a distant planet uncover something buried for millennia.
M0240,Dark Horizon,SCI,Neill Blomkamp,1955,7,105,A writer wakes aboard a drifting ship with no memory of how they got there.
M0241,Golden Chaos,COM,Taika Waititi,1974,7.1,97,A artist discovers their ordinary life is anything but.
M0242,Extreme Hope,ACT,Joe Carnahan,2020,6.1,122,A dangerous mission pushes a team to their absolute limits.
M0243,Maximum Soul,ACT,Kathryn Bigelow,2013,4.4,115,"When negotiations fail, one writer becomes the world's last hope."
M0244,Sacred Shadows,HOR,Jennifer Kent,2002,8.8,106,The nightmare is only beginning.
M0245,Weekend at the Cloud,COM,Wes Anderson,1975,5.9,117,A family reunion descends into hilarious chaos.
M0246,Orbital Moon,SCI,Rian Johnson,2012,4.6,122,The colonists of a distant planet uncover something buried for millennia.
M0247,Before Door,DRA,Kelly Reichardt,2019,9.5,116,A scientist fights for justice in a system stacked against them.
M0248,Shadow Tales,ANI,Jennifer Yuh Nelson,1967,7,79,A young dreamer discovers a hidden world beneath their own.
M0249,Before Soul,DRA,David Fincher,2011,6.4,117,A athlete fights for justice in a system stacked against them.
M0250,The Night Protocol,THR,Brian De Palma,2018,6.7,109,Nothing is as it seems in this tightly wound psychological thriller.
M0251,A Twisted Life,DRA,Wong Kar-wai,1974,5.8,109,An aging engineer reflects on a life of sacrifice and regret.
M0252,Hope Tales,ANI,Dean DeBlois,2022,6.6,122,"When adventure calls, one small creature answers."
M0253,Fire Rising,ACT,Antoine Fuqua,1998,5.5,123,"When negotiations fail, one detective becomes the world's last hope."
M0254,Operation Truth,ACT,F. Gary Gray,2022,9.5,100,A scientist goes off the grid to protect the one person who matters most.
M0255,Lucky War,COM,Adam McKay,1955,8.1,86,A athlete's attempt to impress their in-laws spirals out of control.
